item_desc,category_desc,sub_category_desc,item_number,skin_concern_cat_id,skin_concern_cat_name
pแผ่นมาส์กหน้าโรจูคิสแอคเน่พอร์เลส(เขียว)(พ6)15มล.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1163,0,Not Used
pแผ่นมาส์กหน้าโรจูคิสเฟิร์มพอร์เลสเรด(แดง)(พ6)15มล,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1164,0,Not Used
pมาส์กการ์นิเย่ไบรท์คอมพลีทแอนตี้แอคเน่(พ10) 23ก.,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1165,0,Not Used
pมาส์กชีทเคที่ดอลล์ไวท์ทามินซีเซรั่ม (พ6) 20 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1166,0,Not Used
pมาส์กชีทเคที่ดอลล์ไฮยาลูรอนเซรั่ม(พ6) 20 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,มาส์กหน้า,1167,0,Not Used
ครีมกวนอิมรุ่นทอง 3 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1168,1,Whitening
เซรั่มนามุไลฟ์สเนลไวท์ไวท์เทนนิ่ง (ด) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1169,1,Whitening
ครีมสมูทอี (เขียว) 10 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1170,2,Anti-Aging
เซรั่มนามุไลฟ์สเนลไวท์ไวท์เทนนิ่ง (พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1171,1,Whitening
ครีมนามุไลฟ์สเนลไวท์ไฮเดรติ้ง (ด) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1172,0,Not Used
ครีมนามุไลฟ์สเนลไวท์ไฮเดรติ้ง (พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1173,0,Not Used
pครีมกันแดดเคที่ดอลล์อัลตร้าไลท์ฯ SPF50 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1174,0,Not Used
@แอมพูลสกินซิสต้าเรเดียนซ์ไบร์ทเทนนิ่ง (ซอง) 5 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1175,1,Whitening
@แอมพูลสกินซิสต้าเรเดียนซ์ไบร์ทเทนนิ่ง (พ6) 5 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1176,1,Whitening
@แอมพูลสกินซิสต้าเรสคิวแอนตี้แอคเน่ (ซอง) 5 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1177,3,Acne & Oily
@แอมพูลสกินซิสต้าเรสคิวแอนตี้แอคเน่ (พ6) 5 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1178,3,Acne & Oily
เซรั่ม 12 นางพญาไฮยาไวท์เทนนิ่ง (ซอง) 15 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1179,0,Not Used
เซรั่มลอรีอัลรีไวทัลลิฟท์ไฮยาลูรอนิคฯ (ด) 6 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1180,2,Anti-Aging
เซรั่ม 12 นางพญาไฮยาไวท์เทนนิ่ง (พ6) 15 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1181,0,Not Used
ซูเปอร์เซรั่มเจลการ์นิเย่เมนเทอร์โบไบรท์ (ด) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,สำหรับผู้ชาย,1182,0,Not Used
ซูเปอร์เซรั่มเจลการ์นิเย่เมนเทอร์โบไบรท์ (พ6) 7 มล,ผลิตภัณฑ์บำรุงผิวหน้า,สำหรับผู้ชาย,1183,0,Not Used
บูสเตอร์เซรั่มการ์นิเย่แอนตี้แอคเน่ฯ (ด) 7.5 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1184,3,Acne & Oily
บูสเตอร์เซรั่มการ์นิเย่แอนตี้แอคเน่ฯ (พ6) 7.5 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1185,3,Acne & Oily
เซรั่มพอนด์สเอจมิราเคิลอัลทิเมทยูธ (พ6) 7 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1186,2,Anti-Aging
ครีมลอรีอัลไกลโคลิคไบรท์โกลว์อิ้งเดย์SPF30 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1187,1,Whitening
วอเตอร์ครีมลอรีอัลรีไวทัลลิฟท์ไฮยาลูรอนิค 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1188,2,Anti-Aging
@เซรั่มโรจูคิสเพอร์เฟคพอร์เลส (ด) 12 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1189,2,Anti-Aging
@เซรั่มโรจูคิสเพอร์เฟคพอร์เลส (พ6) 12 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1190,2,Anti-Aging
@เซรั่มโรจูคิสไวท์พอร์เลสแอดวานซ์รีแพร์ (ด) 12 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1191,1,Whitening
@เซรั่มโรจูคิสไวท์พอร์เลสแอดวานซ์รีแพร์ (พ6) 12 มล,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1192,1,Whitening
pครีมบิวสตาซิก้าแคร์ (ซอง) 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1193,3,Acne & Oily
pเอสเซนส์บิวสตา3เอ็กซ์มัชรูมอินเทนซีฟฯ (ซอง) 20 มล,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1194,0,Not Used
pเซรั่มเคลียร์เฟสเซร่าซี (ด) 8 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1195,1,Whitening
pเซรั่มเคลียร์เฟสเซร่าซี (พ6) 8 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1196,1,Whitening
pเซรั่มเคลียร์เฟสแอคเน่เปปไทด์ (ด) 8 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1197,3,Acne & Oily
pเซรั่มเคลียร์เฟสแอคเน่เปปไทด์ (พ6) 8 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1198,3,Acne & Oily
pเซรั่มโรจูคิสวิตซีไวท์พอร์เลส (ด) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1199,1,Whitening
pเซรั่มโรจูคิสวิตซีไวท์พอร์เลส (พ6) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1200,1,Whitening
pเซรั่มโรจูคิสแอคเน่พอร์เลส (ด) 6 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1201,3,Acne & Oily
pเซรั่มโรจูคิสแอคเน่พอร์เลส (พ6) 6 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดความมันและป้องกันสิว,1202,3,Acne & Oily
pเซรั่มโรจูคิสวิตบี3สปอตแอนด์เมลาสม่า (ด) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1203,1,Whitening
pเซรั่มโรจูคิสวิตบี3สปอตแอนด์เมลาสม่า (พ6) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1204,1,Whitening
ครีมโรจูคิสเฟซอายเนค (ด) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1205,2,Anti-Aging
ครีมโรจูคิสเฟซอายเนค (พ6) 8 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,ลดริ้วรอย,1206,2,Anti-Aging
เซรั่มมิซึมิไฮยาแอคเน่รีแพร์ (ซอง) 6 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อความชุ่มชื่น,1207,0,Not Used
ครีมโอเลย์ลูมินัสไลท์เพอร์เฟคติ้งเดย์ (ซอง) 7 ก.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1208,1,Whitening
เซรั่มนีเวียเอ็กซ์ตร้าไบรท์ซี&ไฮยา (ด) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1209,1,Whitening
เซรั่มนีเวียเอ็กซ์ตร้าไบรท์ซี&ไฮยา (พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1210,1,Whitening
เซรั่มนีเวียเมนเอ็กซ์ตร้าไบรท์ซี&ไฮยา (ด) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,สำหรับผู้ชาย,1211,0,Not Used
เซรั่มนีเวียเมนเอ็กซ์ตร้าไบรท์ซี&ไฮยา (พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,สำหรับผู้ชาย,1212,0,Not Used
เซรั่มกันแดดมิซึมิยูวีแอคเน่แมท (ซอง) 6 กรัม,ผลิตภัณฑ์บำรุงผิวหน้า,ป้องกันแสงแดด,1213,0,Not Used
Wเซรั่มนิสิตวิบวับหิมาลายัน 15 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,เพื่อผิวขาว,1214,1,Whitening
ซูเปอร์เซรั่มเจลการ์นิเย่เมนแอคโนไฟท์ (ด) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,สำหรับผู้ชาย,1215,0,Not Used
ซูเปอร์เซรั่มเจลการ์นิเย่เมนแอคโนไฟท์ (พ6) 7 มล.,ผลิตภัณฑ์บำรุงผิวหน้า,สำหรับผู้ชาย,1216,0,Not Used
